iter	Passed	Remaining
924	14294	1159
925	14306	1143
926	14318	1127
927	14331	1111
928	14344	1096
929	14357	1080
930	14372	1065
931	14387	1049
932	14399	1034
933	14411	1018
934	14422	1002
935	14433	986
936	14445	971
937	14456	955
938	14469	939
939	14481	924
940	14494	908
941	14505	893
942	14517	877
943	14529	861
944	14540	846
945	14551	830
946	14564	815
947	14576	799
948	14587	783
949	14599	768
950	14611	752
951	14622	737
952	14633	721
953	14645	706
954	14656	690
955	14668	675
956	14680	659
957	14692	644
958	14703	628
959	14715	613
960	14727	597
961	14739	582
962	14750	566
963	14762	551
964	14773	535
965	14786	520
966	14799	505
967	14812	489
968	14824	474
969	14835	458
970	14847	443
971	14859	428
972	14870	412
973	14882	397
974	14894	381
975	14906	366
976	14917	351
977	14928	335
978	14940	320
979	14951	305
980	14963	289
981	14977	274
982	14989	259
983	15001	243
984	15012	228
985	15024	213
986	15036	198
987	15048	182
988	15060	167
989	15071	152
990	15085	137
991	15098	121
992	15112	106
993	15127	91
994	15144	76
995	15158	60
996	15174	45
997	15191	30
998	15209	15
999	15223	0
